material_id,formula,energy_above_hull (eV/atom),energy_per_atom (eV/atom),density (g/cm³),band_gap (eV),bulk_modulus_K_VRH (GPa),shear_modulus_G_VRH (GPa),youngs_modulus_E(GPa),epsilon(k),epsilon_var,epsilon_delta,epsilon_ratio
mp-1479,BP,0.0,-8.65751955,2.9813687825821953,1.243499999999999,162.0,161.8089134677944,364.17744636014925,9.17534651000123,3.8520340771213536e-12,4.786113951382731e-06,1.0000005216277406
mp-3589,BPO4,0.0,-8.078734098333333,2.798255934324688,7.2565,59.86424556852573,61.07474974172527,136.72700386298018,2.586005310000001,7.608894269827618e-05,0.018504060135112965,1.0071725686759687
mp-27724,BPS4,0.0,-5.41944845,1.994541415192164,2.276,,,,3.263608676666651,0.7924092073783432,1.9470170059805407,1.7565727094191992
mp-540668,BS2,0.0,-5.713698593541667,1.841349691563198,2.5677,,,,,,,
mp-9122,CaP3,0.0,-9.242041392500001,2.7207923507511182,0.004900000000000001,,,,,,,
mp-697657,CaP4(HO6)2,0.0,-7.300212549999987,2.443692572304854,5.6369,,,,,,,
mp-30983,CaP4O11,0.0,-7.66736970671875,2.218816295071708,5.5138,,,,,,,
mp-1195714,CaP6(HN3)4,0.0,-7.178447817608695,2.721993151182544,4.1792,,,,,,,
mp-24390,CaPHO4,0.0,-7.172470133214285,2.9471138769409553,5.4321,72.86544929131236,39.13635031461738,99.58065051138652,,,,
mp-9789,CaPS3,0.0,-9.265458472,2.503227021928142,3.0848,,,,5.2933173133333336,0.003551620957451245,0.12656713363455463,1.0241032932056002
mp-1672,CaS,0.0,-9.97225439,2.5810342007468723,2.3819,57.0,38.838461538461544,94.94985153414714,4.9883352500036615,1.257559731473531e-12,2.6514239328534472e-06,1.0000005315249265
mp-1019581,CaS3O10,0.0,-6.65106488267857,2.582664820588039,5.0004,,,,,,,
mp-4406,CaSO4,0.0,-6.991409335833332,2.9787166822786633,5.9508,64.18504079000498,31.42225645036419,81.04188647721615,2.664950383333333,0.008726035961441891,0.2125711948478508,1.0822927989187856
mp-1563,CaSi,0.0,-8.507153645,2.380562160416181,0.0,53.67151066301552,38.24823040461565,92.7195956338547,,,,
mp-2699,CaSi2,0.0,-8.622144865000001,2.436716332414156,0.0,62.54444444444445,43.612466695630374,106.16174434258049,,,,
mp-556884,CaSi2(NO)2,0.0,-8.034199391666666,2.958167848344397,4.369099999999999,,,,,,,
mp-568965,CaSiN2,0.0,-7.432112468125,3.296452598596236,3.508800000000001,,,,,,,
mp-4429,CaSiO3,0.0,-7.903008399833334,2.902926205593484,4.8413,92.48855746925159,47.70169760450449,122.11173218573151,,,,
mp-18229,CaTa2O6,0.0,-9.639244598333333,7.372491967543985,3.473899999999999,,,,,,,
mp-3079,CaTa4O11,0.0,-9.9203302353125,7.546855893781364,3.543799999999999,,,,,,,
mp-2713900,CaTa5(PO4)9,0.0,-8.66324262117647,3.877534702797365,3.0697,,,,,,,
mp-2713742,CaTi(SO4)3,0.0,-7.191704546960785,2.401135333428538,2.2441,,,,,,,
mp-709021,CaTi2(HO3)2,0.0,-7.865352541931818,3.22515473450759,3.1485,,,,,,,
mp-16831,CaTi4(PO4)6,0.0,-8.380253920000001,2.845351799810924,2.7105,,,,,,,
mp-1029572,CaTiN2,0.0,-8.180578562500001,3.5711820061268362,2.2431,,,,7.796874030000001,0.02309396815887688,0.3714027600000005,1.0488433168552453
mp-4019,CaTiO3,0.0,-8.5050821395,4.02925941391082,2.3053,172.32766749923314,102.42758139865794,256.46955321762505,,,,
mp-6109,CaTiSiO5,0.0,-8.484478519375001,3.416464100691664,2.985499999999999,115.58229386776632,68.52834189738181,171.6595706388649,,,,
mp-554495,CaZr(PO4)2,0.0,-8.3585058825,3.49058882978001,4.3919999999999995,,,,3.2426133733333327,0.010329372784461317,0.24608192000000217,1.0786091140678864
mp-2713932,CaZr(SO4)3,0.0,-7.325563010000001,2.481090041532616,3.8219000000000003,,,,,,,
